Title,Inputs,III cohort,Interop Interfaces,Non-interop interfaces,Outputs,People,Process Card,Website,Workflows
Pol.is,Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html),No,"Flat-file push-button  (Flat-file%20push-button%20812ba61cb5ab4c338193a364702873ef.html), HTTP API (HTTP%20API%200d8230f62fc3473d96703469ae8e6fb8.html)","Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html), oAuth (oAuth%201d99f5d25c224d7bbe608a5a247df6c6.html)","Scored List (Scored%20List%2028328e708a5c4889b9c7f9203e73fec5.html), Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html)",,,,"Visualize Pol.is survey with Deliberative Canvas (Visualize%20Pol%20is%20survey%20with%20Deliberative%20Canvas%2055c7daa7b9fb457bb1500313a4db421a.html), Join Platform (Join%20Platform%201253e90bf9f18065adc7c4768a2753c7.html)"
Power Ranker,Option (Option%2004f3dbf821b3498096af5d1c909be158.html),Yes,Flat-file push-button  (Flat-file%20push-button%20812ba61cb5ab4c338193a364702873ef.html),Slack User Interface (Slack%20User%20Interface%201053e90bf9f180518fa9f159dfd477c2.html),Scored List (Scored%20List%2028328e708a5c4889b9c7f9203e73fec5.html),"Daniel Kronovet (Daniel%20Kronovet%201053e90bf9f18080a75bd9aba4c073e3.html), Seth Frey (Seth%20Frey%201053e90bf9f180c89be2c67b70a7a732.html)",https://docs.google.com/document/d/1csvK85-L07Z_fbLF-N0GZsSscOnBMFylJBI3KtaUiMM/edit#heading=h.b855uukhyi85,,Rank evidence claims (Rank%20evidence%20claims%203ba67548d40a4a529e1bf76a12bfbba4.html)
Deliberative Canvas,"Scored List (Scored%20List%2028328e708a5c4889b9c7f9203e73fec5.html), Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html)",Yes,Flat-file push-button  (Flat-file%20push-button%20812ba61cb5ab4c338193a364702873ef.html),Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html),,Mark Upton (Mark%20Upton%201053e90bf9f180158df8ed212e09ff31.html),https://docs.google.com/document/d/1Ajwq-I3yuCmybzY4x7LnuaEpdqJpRDwnJC_TtZubBy8/edit,https://deliberative-canvas.gitbook.io/deliberative-canvas-docs,Visualize Pol.is survey with Deliberative Canvas (Visualize%20Pol%20is%20survey%20with%20Deliberative%20Canvas%2055c7daa7b9fb457bb1500313a4db421a.html)
Knowledge Organization Infrastructure (KOI),Knowledge Object (Knowledge%20Object%201043e90bf9f180a386dcf7d0fb890a34.html),No,Google Sheet (Google%20Sheet%201053e90bf9f180f3b95df1c56b346c49.html),Slack User Interface (Slack%20User%20Interface%201053e90bf9f180518fa9f159dfd477c2.html),Reference Identifiers (RID) (Reference%20Identifiers%20(RID)%201043e90bf9f180c2b778ef3b5321e715.html),,,,
Maple,Document (Document%201053e90bf9f18017b0f4fc6997076f93.html),Yes,Flat-file at a static URL (Flat-file%20at%20a%20static%20URL%2042864cbfcf784423a3a7c829ff79bcbb.html),Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html),Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html),,https://docs.google.com/document/d/1laLpzwFAAijn3h-n56XUW_b3n_lMpmzNEeUyh6KFLlA/edit#heading=h.b855uukhyi85,www.mapletestimony.org,
Harmonica,"Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html), Member (Member%20a51facfd1b1e49cd8e1b2b4e8a17927e.html)",Yes,"Flat-file push-button  (Flat-file%20push-button%20812ba61cb5ab4c338193a364702873ef.html), HTTP API (HTTP%20API%200d8230f62fc3473d96703469ae8e6fb8.html)",Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html),Document (Document%201053e90bf9f18017b0f4fc6997076f93.html),"Artem Zhiganov (Artem%20Zhiganov%201053e90bf9f18099a7f1e2e613fa2347.html), Harry Eastham (Harry%20Eastham%201053e90bf9f180fd94f1e73122f0bb3c.html), Anton Mikhailov (Anton%20Mikhailov%201053e90bf9f180d7af47f4be7e91fd56.html), Jonas Kuhn (Jonas%20Kuhn%2010d3e90bf9f180a89e36e578b4c3805e.html), Chris Bland (Chris%20Bland%2010d3e90bf9f18039b36ee0763ee31f69.html)",https://docs.google.com/document/d/1Dk1uHp_GxQWwb7ICmTe-yMXV47r3PQ77sZ5mgCeohG4/edit?tab=t.0#heading=h.pyteyiog4n1i,https://harmonica.chat/,"Harmonica x SwarmCheck (Harmonica%20x%20SwarmCheck%201133e90bf9f180bda15de0ab2032b501.html), Harmonica x (Citizens Assembly) (Harmonica%20x%20(Citizens%20Assembly)%20d92d67618981470f9abb36b8d8a6713b.html), Harmonica x MicroPublishing (Harmonica%20x%20MicroPublishing%20d6e7a05e09264aa8b0761777a1e56f0b.html)"
Constituency Listening,Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html),Yes,,,Document (Document%201053e90bf9f18017b0f4fc6997076f93.html),Maggie Hughes (Maggie%20Hughes%201053e90bf9f1808294b1ef5930d6d04f.html),https://docs.google.com/document/d/1v7Nvjp9U7yNGyqPBL06cV1N1mZZ-0L4qJ3wD1sH9yRY/edit,,
Talk to the City (TttC),Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html),Yes,Flat-file at a static URL (Flat-file%20at%20a%20static%20URL%2042864cbfcf784423a3a7c829ff79bcbb.html),Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html),Document (Document%201053e90bf9f18017b0f4fc6997076f93.html),"Stacey Svetlichnaya (Stacey%20Svetlichnaya%208ec725c4ab5c4f9680360a340f5bacc4.html), Emre Turan (Emre%20Turan%201053e90bf9f180a18f97d60e96588217.html), Colleen McKenzie (Colleen%20McKenzie%20fac9a6cf6e864abfa6c990d5313d739f.html)",https://docs.google.com/document/d/1rUEUFlNjtoqpbxz87u5u4mBOMIyfLZhE-zyfDT9GjTE/edit,https://talktothecity.org/,
Iswe,,Yes,,,,"Johnny Stormonth-Darling (Johnny%20Stormonth-Darling%2010b3e90bf9f180cd8a76c722ea9b98a9.html), Inaki Goni (Inaki%20Goni%2010b3e90bf9f1801c9e28cc6f9d06b94a.html), Howard Melnyczuk (Howard%20Melnyczuk%201203e90bf9f180c188aaee74a6ed3a0b.html)",https://docs.google.com/document/d/1Um-lk8_wOUncaBda5FjyE0TVoPMjBbXBzyuGZurnbxg/edit?usp=sharing,http://iswe.org,Harmonica x (Citizens Assembly) (Harmonica%20x%20(Citizens%20Assembly)%20d92d67618981470f9abb36b8d8a6713b.html)
Decidim,"Option (Option%2004f3dbf821b3498096af5d1c909be158.html), Document (Document%201053e90bf9f18017b0f4fc6997076f93.html)",Yes,"HTTP API (HTTP%20API%200d8230f62fc3473d96703469ae8e6fb8.html), Flat-file push-button  (Flat-file%20push-button%20812ba61cb5ab4c338193a364702873ef.html), Flat-file at a static URL (Flat-file%20at%20a%20static%20URL%2042864cbfcf784423a3a7c829ff79bcbb.html)","oAuth (oAuth%201d99f5d25c224d7bbe608a5a247df6c6.html), Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html)","Document (Document%201053e90bf9f18017b0f4fc6997076f93.html), Option (Option%2004f3dbf821b3498096af5d1c909be158.html)","Andres Pereira de Lucena (Andres%20Pereira%20de%20Lucena%2010b3e90bf9f1803db12ae95f58810bae.html), Carol Romero Cruz (Carol%20Romero%20Cruz%2010b3e90bf9f180858760d942e4428456.html), Nil Homedes Busquets (Nil%20Homedes%20Busquets%2010b3e90bf9f180dcbc62c04cd892ae5f.html)",https://docs.google.com/document/d/10_S9MbYJj-o_9L1juXcl8WaB93TOf7ScDK5OeuYnRwA/edit,decidim.org,Decidim x PB Stanford (Decidim%20x%20PB%20Stanford%208bf3b1aa02ba4049b9f000424425cf64.html)
GoVocal (formerly CitizenLab),"Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html), Member (Member%20a51facfd1b1e49cd8e1b2b4e8a17927e.html)",Yes,,Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html),Document (Document%201053e90bf9f18017b0f4fc6997076f93.html),"Irene Pedruelo (Irene%20Pedruelo%2010b3e90bf9f180548c9ddf2729fcc061.html), Wietse van Ransbeeck (Wietse%20van%20Ransbeeck%201e64181a7f6b40dbb2c6e382a8c9b13e.html)",https://docs.google.com/document/d/1qA-Ors5DmP7JwOOEkRJBZziTaliiJ8WzEXirK7wMkOE/edit,,
PolicyCraft,"Document (Document%201053e90bf9f18017b0f4fc6997076f93.html), Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html), Member (Member%20a51facfd1b1e49cd8e1b2b4e8a17927e.html)",Yes,,,"Document (Document%201053e90bf9f18017b0f4fc6997076f93.html), Policy (Policy%2010b3e90bf9f180638336ece01aa3efdc.html)",Tzu-Sheng Kuo (Tzu-Sheng%20Kuo%2010b3e90bf9f18063856aef707eba2bc4.html),https://docs.google.com/document/d/1lyFRtWAirh_--MIRk8-O_g6O0G8UXrllEeL2pKR3eEs/edit,,
Stanford Participatory Budgeting Platform,Policy (Policy%2010b3e90bf9f180638336ece01aa3efdc.html),Yes,,,"Ballot (Ballot%2010b3e90bf9f180d983f0cf970352fb9e.html), Scored List (Scored%20List%2028328e708a5c4889b9c7f9203e73fec5.html)","Ashish Goel (Ashish%20Goel%2010b3e90bf9f1800597a1d74ca856f290.html), Lodewijk Gelauff (Lodewijk%20Gelauff%2010b3e90bf9f180e69254ec37b155dbd3.html), Sahasrajit Sarmasarkar (Sahasrajit%20Sarmasarkar%2010b3e90bf9f180ccb3caea3582943930.html)",https://docs.google.com/document/d/14zgEnM7oYwmJzJ127S03JFOTOETkaYaGvMQlZWgbToQ/edit,https://pbstanford.org/,
Global Brain,Ballot (Ballot%2010b3e90bf9f180d983f0cf970352fb9e.html),Yes,HTTP API (HTTP%20API%200d8230f62fc3473d96703469ae8e6fb8.html),,Scored List (Scored%20List%2028328e708a5c4889b9c7f9203e73fec5.html),"Johannes Nakayama (Johannes%20Nakayama%2010b3e90bf9f180f4839cd0d12638b044.html), Felix Dietze (Felix%20Dietze%2010b3e90bf9f180e7bf86d718a8078352.html), Jonathan Warden (Jonathan%20Warden%2010b3e90bf9f18022b428d5406f913af9.html)",https://docs.google.com/document/d/1pTRmXC-RmjFxZeT9LQN3Kj6n2pB9ClM_k11eMoAIS18/edit,https://social-protocols.org/deliberative-consensus-protocols/,
Pairwise,Policy (Policy%2010b3e90bf9f180638336ece01aa3efdc.html),No,HTTP API (HTTP%20API%200d8230f62fc3473d96703469ae8e6fb8.html),,"Ballot (Ballot%2010b3e90bf9f180d983f0cf970352fb9e.html), Ranked List (Ranked%20List%207b6d9a2e24f44da49c3e4d8b24450c39.html)",,https://docs.google.com/document/d/14wNtk2dapqx0eCrIDRW1LuWNKW4Vds4M7nj8-qONX3s/edit#heading=h.5lhqulo9x1xc,,
Micropublishing,Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html),Yes,"Flat-file push-button  (Flat-file%20push-button%20812ba61cb5ab4c338193a364702873ef.html), Flat-file at a static URL (Flat-file%20at%20a%20static%20URL%2042864cbfcf784423a3a7c829ff79bcbb.html)",Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html),Option (Option%2004f3dbf821b3498096af5d1c909be158.html),"Joel Chan (Joel%20Chan%20bfc0ec4838a845abab9e2bf13e9659a3.html), Matthew Akamatsu (Matthew%20Akamatsu%201053e90bf9f180f7be3ec420e2eda318.html), Michael Gartner (Michael%20Gartner%201053e90bf9f180e78728e789fa6fbe8e.html), Ronen Tamari (Ronen%20Tamari%201053e90bf9f180d19877de098c4c4db1.html)",https://docs.google.com/document/d/1OEp9SVZ9NECdYOmuo52VHBvV8gZdZ02yISQgotsEWQc/edit,https://github.com/oasisresearchlab/dg-social-media,"Rank evidence claims (Rank%20evidence%20claims%203ba67548d40a4a529e1bf76a12bfbba4.html), Harmonica x MicroPublishing (Harmonica%20x%20MicroPublishing%20d6e7a05e09264aa8b0761777a1e56f0b.html)"
Swarmcheck,Document (Document%201053e90bf9f18017b0f4fc6997076f93.html),Yes,,Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html),Argument map (Argument%20map%201133e90bf9f18078bdc4ea4e3c8d8f25.html),Marcin Wozniak (Marcin%20Wozniak%201133e90bf9f180a29352e8e5de28f570.html),https://docs.google.com/document/d/1ZHbKLvjGGYQJtQUomw4VK-FR6QOcCbQDsP9Dm8hZs2Y/edit?usp=sharing,swarmcheck.ai,
Moral Graph Elicitation,,No,HTTP API (HTTP%20API%200d8230f62fc3473d96703469ae8e6fb8.html),Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html),Moral Graph (Moral%20Graph%20157de9cf7f024ef79c0e64e4cf739a59.html),Oliver Klingefjord (Oliver%20Klingefjord%2086bcea76059e43cbb8a69ad8bd5b44f1.html),,meaningalignment.org,
Evocracy,"Member (Member%20a51facfd1b1e49cd8e1b2b4e8a17927e.html), Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html)",Yes,,Web User Interface (Web%20User%20Interface%204270e546d550479c8a8d59324f8ea8eb.html),"Document (Document%201053e90bf9f18017b0f4fc6997076f93.html), Policy (Policy%2010b3e90bf9f180638336ece01aa3efdc.html)",Carlo Michaelis (Carlo%20Michaelis%201133e90bf9f180d1b40ae118592e3597.html),,https://openevocracy.org,Harmonica x (Citizens Assembly) (Harmonica%20x%20(Citizens%20Assembly)%20d92d67618981470f9abb36b8d8a6713b.html)
Quorum Bot,"Member (Member%20a51facfd1b1e49cd8e1b2b4e8a17927e.html), Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html)",No,Message Broker (Message%20Broker%201253e90bf9f180ac9fe2efba69158b1f.html),,Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html),Daniel Carr (Daniel%20Carr%201253e90bf9f1809ab510cb2e33c02d95.html),,,"Join Platform (Join%20Platform%201253e90bf9f18065adc7c4768a2753c7.html), LiquidFeedback (LiquidFeedback%2012b3e90bf9f1806cad55c2f6c9888294.html)"
Topic Framing & Dimension Committee,Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html),No,,,Note (Note%2038ecc8d1ba4e47e0af8409110c705433.html),Daniel Carr (Daniel%20Carr%201253e90bf9f1809ab510cb2e33c02d95.html),,,Join Platform (Join%20Platform%201253e90bf9f18065adc7c4768a2753c7.html)